password,userName,programDescription,programName,programStatus,programDescription1,programName1,programStatus1,programDescription2,programName2,programStatus2,programDescription3,programName3,programStatus3,batchName,batchStatus,batchName1,batchNoOfClasses1,batchName11,userComments,userEduPg,userEduUg,userFirstName,userLastName,userLinkedinUrl,userLocation,userLoginEmail,userMiddleName,userPhoneNumber,roleId,userRoleStatus,userTimeZone,userVisaStatus,UpdatedVisaStatus,UpdateduserRoleStatus,UpdatedroleId
Numpyninja@1,sdetorganizers@gmail.com,QAautomation,March24-HackathonWarriors-SDET-1011,Active,QAautomation1,March24-HackathonWarriors-SDET-8235,Active,SDET testing,March24-HackathonWarriors-SDET-8822,Active,Testing and automation,March24-HackathonWarriors-SDET-8822,Active,Mar24-HackathonWarriors-SDET-1020,active,Mar24-HackathonWarriors-SDET-2937,10,Mar24-HackathonWarriors-SDET-9927,ROLE_STAFF,MA,BA,HackathonWarriors,Student,https://www.linkedin.com/in/HackathonWarriorsTeamB/,Seatle,laam67rtessmm@gmail.com,mighty,9479007362,R03,Active,PST,H1B,US-Citizen,inactive,R01
Numpyninja@1,sdetorganizers@gmail.com,QAautomation,March24-HackathonWarriors-SDET-199,Active,QAautomation,March24-HackathonWarriors-SDET-1367,inactive,automation,March24-HackathonWarriors-SDET-56,Inactive,Testing and automation,March24-HackathonWarriors-SDET-6243,active,Mar24-HackathonWarriors-SDET-001,active,newlearners34,8,Mar24-HackathonWarriors-SDET-456,ROLE_ADMIN,MSc,BSc,HackathonWarriors,Staff,https://www.linkedin.com/in/HackathonWarriorsTeamC/,Florida,klamacyFlorida@gmail.com,mighty,4371231237,R02,Active,EST,H4,US-Citizen,active,
Numpyninja@1,,QAautomation,March24-HackathonWarriors-SDET-1277,Active,QAautomation,March24-HackathonWarriors-SDET-1278,inactive,SDET,March24-HackathonWarriors-SDET-1111,inactive,Testing and automation,March24-HackathonWarriors-SDET-6243,active,Mar24-HackathonWarriors-SDET-216,inactive,Mar24-HackathonWarriors-SDET-2116,4,Mar24-HackathonWarriors-SDET-316,ROLE_STUDENT,Mtech,Btech,HackathonWarriors,admin,https://www.linkedin.com/in/HackathonWarriorsTeamA/,Georgia,AAhamayy@gmail.com,mighty,9721231235,R01,Active,CST,US-Citizen,GC-EAD,inactive,R02
Numpyninja@1,sdetorganizers@gmail.com,QAautomation,March24-HackathonWarriors-SDET-1287,Active,SDET,March24-HackathonWarriors-SDET-0128,Active,,March24-HackathonWarriors-SDET-1111,,,,,startTest,active,%^&,8,Mar24-HackathonWarriors-SDET-316,ROLE_STUDENT,Mtech,Btech,HackathonWarriors,,,,,,,,,,,,inactive,
Numpyninja@1,sdetorganizers@gmail.com,QAautomation,March24-HackathonWarriors-SDET-1288,Active,QAautomation,March24-HackathonWarriors-SDET-1278,inactive,SDET,March24-HackathonWarriors-SDET-1111,Active,Testing and automation,March24-HackathonWarriors-SDET-6243,Active,Mar24-HackathonWarriors-SDET-216,active,Mar24-HackathonWarriors-SDET-2116,4,Mar24-HackathonWarriors-SDET-316,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,Active,56sk,,,123,null,Active,,456,,,,123sdfg,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,Active,,dgh,,#$%123,,Active,,677bnmm,,hello,new,#$%sdfg,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,Active,#$$,1223vbnj,,cbb345,,Active,jklfl,,,start,active,,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,active,,,Active,tyy,,Active,,%^^,,okay,1234,cvvb2345,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,Active,$%^3445,,,%^6789,,,677v,bn ==,,qwert,active,cvnm456,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,Active,,$%%,,null,,Active,,*jk,,567ghh,active,cvbn,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,Active,,123%^^&,,123fdggh,,bnnd,%^^7,fdgh56&**,,,active,cvbn,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,active,,,Active,#$%,,,,,,learn@#$,active,cvbn,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,active,null,,active,,,,,,,learn@#$,,cvbn,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,active,,,active,,,,,,,1234,active,cvbn,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,active,,,active,,,,,,,@#$,active,cvbn,,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,active,,,active,,,,,,,learn@#$,active,cvbn,0,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,active,,,Active,,,,,,,learn@#$,active,vbnn,-56,,,,,,,,,,,,,,,,,,
